id;start_date;end_date;language
1;2020-06-09T08:18:07;2020-06-09T06:08:22;SPANISH
2;2020-06-08T13:08:18;2020-06-09T08:12:43;SPANISH
3;2020-06-09T04:03:37;2020-06-08T14:37:46;FRENCH
4;2020-06-08T19:21:08;2020-06-09T06:52:34;FRENCH
5;2020-06-09T04:51:26;2020-06-09T09:38:25;FRENCH
6;2020-06-08T22:43:47;2020-06-09T10:52:01;FRENCH
7;2020-06-09T00:29:07;2020-06-08T18:19:58;FRENCH
8;2020-06-08T23:25:20;2020-06-09T09:41:28;SPANISH
9;2020-06-08T22:06:29;2020-06-08T18:47:52;SPANISH
10;2020-06-09T06:18:33;2020-06-08T16:53:03;SPANISH
